client_code,job_count,job_names,sessions_2026,success,warning,failed,success_rate_pct,last_session_at,last_session_result,last_success_at,last_failure_at,last_failure_message,repo_capacity,repo_free,repo_used_pct,repo_runway_days
orx,2,bkp_ORX; Bkp_ORX_IMT,292,88,6,198,30.1,2026-05-02T00:19:39.959232-07:00,Failed,2026-05-01T22:30:19.507712-07:00,2026-05-02T00:19:39.959232-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_ORX_IMT""",18.0 TB,3.5 TB,80.8,3
vaf,2,bkp_VAF; Bkp_VAF_IMT,268,96,6,166,35.8,2026-05-02T00:03:05.087937-07:00,Failed,2026-04-30T20:25:15.238996-07:00,2026-05-02T00:03:05.087937-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_VAF_IMT""",6.0 TB,151.8 GB,97.5,6
vg,2,bkp_VG; Bkp_VG_IMT,177,102,3,72,57.6,2026-05-01T20:00:07.90841-07:00,Success,2026-05-01T20:00:07.90841-07:00,2026-05-01T19:37:16.725477-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_VG_IMT""",1.0 TB,649.7 GB,36.5,51
ccc,2,bkp_CCC; Bkp_CCC_IMT,199,104,1,94,52.3,2026-05-01T19:37:16.343091-07:00,Failed,2026-05-01T19:00:27.318857-07:00,2026-05-01T19:37:16.343091-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_CCC_IMT""",2.0 TB,1.6 TB,21.9,87
technijian,6,bkp_TECH; bkp_TECH-ARC; bkp_TECH-CP; bkp_TECH-HRZ; bkp_TECH-LAB; bkp_TECH-WP,979,727,0,252,74.3,2026-05-02T12:00:17.688961-07:00,Success,2026-05-02T12:00:17.688961-07:00,2026-04-27T23:00:08.732799-07:00,Processing TE-DC-BK-365-01,60.0 TB,27.1 TB,54.8,111
css,2,bkp_CSS; Bkp_CSS_IMT,182,104,1,77,57.1,2026-05-01T20:00:02.24627-07:00,Success,2026-05-01T20:00:02.24627-07:00,2026-05-01T19:37:16.49089-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_CSS_IMT""",1.0 TB,888.1 GB,13.3,160
tor,2,bkp_TOR; Bkp_TOR_IMT,173,100,0,73,57.8,2026-05-01T19:37:11.19029-07:00,Failed,2026-05-01T19:00:27.148617-07:00,2026-05-01T19:37:11.19029-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_TOR_IMT""",1.0 TB,986.4 GB,3.7,680
for,2,bkp_FOR; Bkp_FOR_IMT,184,103,0,81,56.0,2026-05-01T22:00:23.979571-07:00,Success,2026-05-01T22:00:23.979571-07:00,2026-05-01T19:37:16.210691-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_FOR_IMT""",1.0 TB,993.2 GB,3.0,3652
rfps,2,bkp_RFPS; Bkp_RFPS_IMT,177,105,1,71,59.3,2026-05-01T22:30:19.392976-07:00,Success,2026-05-01T22:30:19.392976-07:00,2026-05-01T19:37:16.614677-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_RFPS_IMT""",1.0 TB,997.7 GB,2.6,3652
max,2,bkp_MAX; Bkp_MAX_IMT,186,103,1,82,55.4,2026-05-01T20:00:07.970226-07:00,Success,2026-05-01T20:00:07.970226-07:00,2026-05-01T19:37:16.056373-07:00,"Cannot perform repository threshold check, failed to get space info: repository ""Bkp_MAX_IMT""",0.0 B,0.0 B,,
