Category,Hours,Percent,Unique_Tickets,Entries
Uncategorized,995.96,24.6%,1168,1538
Routine: Patch management / Windows Update / missing patches,789.51,19.5%,770,1509
Routine: CrowdStrike / EDR agent version updates,260.75,6.4%,394,402
Routine: MyRMM / ManageEngine / N-able / RMM agent version updates,205.01,5.1%,297,305
Project: NewStar ERP upgrade / updates / support,188.26,4.6%,113,188
Routine: Weekly Maintenance Window,144.68,3.6%,3,163
Routine: Antivirus / Malware scan,119.84,3.0%,222,257
Routine: ScreenConnect / MyRemote agent updates,119.05,2.9%,198,208
Project: RMM / tooling install on new machines,103.37,2.6%,88,109
Routine: Individual user / PC / laptop issue (named),92.83,2.3%,54,88
Routine: Network / Internet / ISP / Wi-Fi issue,89.25,2.2%,123,135
Project: Server / VM / ESXi / VMware upgrade or rebuild,87.55,2.2%,51,101
Routine: Generic help / troubleshoot / support,74.29,1.8%,71,112
Routine: Server/DC issue (generic),70.41,1.7%,58,71
Routine: Monitoring alert — CPU / memory / disk utilization,68.75,1.7%,136,251
Routine: Email / Outlook / spam / phishing,67.35,1.7%,98,131
Project: Windows 11 / PC refresh / laptop deploy,65.95,1.6%,18,45
Project: OneDrive / SharePoint data migration,65.49,1.6%,26,53
Routine: Backup job / Veeam alert / failure,60.44,1.5%,63,140
Routine: Monitoring alert — device down / not responding / agent offline,44.21,1.1%,59,204
Routine: File access / Shared drive / OneDrive sync / Permissions,44.11,1.1%,38,63
Routine: Printer / Scanner / Peripheral,44.04,1.1%,46,69
"Routine: Hardware troubleshoot (slow, freeze, bsod, boot)",43.67,1.1%,71,84
Project: Backup / Veeam / Replication setup or rebuild,33.39,0.8%,27,33
Routine: Onboarding / Offboarding user,24.91,0.6%,12,22
Routine: Monitoring alert — generic critical / MonitorField,22.6,0.6%,40,132
Routine: Admin / Approvals / Signatures / Meetings,21.48,0.5%,23,35
Project: Firewall / VPN / Network buildout,18.83,0.5%,11,17
Routine: VPN troubleshoot,18.23,0.5%,13,23
Routine: User login / password / account lockout,15.26,0.4%,27,28
Project: File server / data migration,13.5,0.3%,3,6
Project: Security / EDR / CrowdStrike / Umbrella / SSL / MFA rollout,12.0,0.3%,6,11
Routine: Web / app 404 / site down,9.61,0.2%,4,7
Routine: Phone / Voice / Teams / Conferencing,9.24,0.2%,10,12
Routine: Weekly firewall / config backup,6.28,0.2%,2,6
TOTAL,4050.1,100.0%,,
