InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
44712,27398,2026-01-25,2025-12-26,336.0000,336.0000,WeeklyOut,Paid,2025-12-30,Out Of Contract
44076,26745,2025-10-19,2025-09-19,75.0000,75.0000,WeeklyOut,Paid,2025-09-22,Out Of Contract
39134,9187,2024-04-07,2024-03-08,116.4400,116.4400,WeeklyOut,Paid,2024-03-08,Out Of Contract
35568,3680,2023-03-26,2023-02-24,300.0000,300.0000,Weekly,Paid,2023-02-28,Weekly Invoice
28276,42749,2021-08-07,2021-07-08,300.0000,300.0000,Invoice,Paid,2021-07-26,4th of july work
26099,40612,2020-11-14,2020-10-30,637.5000,637.5000,Weekly,Paid,2020-11-12,Weekly Invoice
23267,37938,2020-02-15,2020-01-31,250.5000,250.5000,Weekly,Paid,,Weekly Invoice
23163,37824,2020-02-01,2020-01-17,291.0000,291.0000,Weekly,Paid,,Weekly Invoice
23109,37759,2020-01-25,2020-01-10,1563.0000,1563.0000,Weekly,Paid,,Weekly Invoice
22867,37542,2020-01-04,2019-12-20,300.0000,300.0000,Weekly,Paid,,Weekly Invoice
