client_code,client_name,tenant_id,gdap_requested,gdap_approved,status,notes
TECHNIJIAN,Technijian Internal,cab8077a-3f42-4277-b7bd-5c9023e826d8,2026-04-30,2026-04-30,approved,own tenant
B2I,B2 Insurance Services,b752f922-8e39-4b45-b1ed-d22a423a9b7b,2025-08-27,2025-08-27,approved,GDAP expires 2026-08-27
CBI,Christian Brothers Interiors,d8a53075-5e10-4bf9-84ac-7f4595d67295,2024-12-20,2024-12-20,approved,GDAP expires 2026-12-20
CBL,Christopher L. Blank Attorney at Law,7f514a44-48f6-4400-a30e-c68d563bee28,2023-08-22,2023-08-22,approved,GDAP expires 2026-08-11 — pending app consent
NOR,Hotel Normandie,61d9b3ff-5962-4628-b32f-d840822545ce,2025-09-01,2025-09-01,approved,GDAP expires 2026-09-01
VAF,Via Auto Finance,9cb538a1-6c4a-4cef-87d9-d131d2eaa1df,2025-08-27,2025-08-27,approved,GDAP expires 2026-08-27
SAS,Strategic Air Services,9fcc5c06-4146-406c-ab7f-4ec8c5583c65,2025-08-27,2025-08-27,approved,GDAP expires 2026-08-27
CCC,Culp Construction,c9367da3-01f5-4b8d-9461-82eb18a57409,2024-11-12,2024-11-13,approved,GDAP expires 2026-11-13 — pending app consent
AOC,Apartment Association of Orange County,047f7c77-f0d5-4d53-8d99-e827f436a425,2024-11-12,2024-11-12,approved,GDAP expires 2026-11-12
ACU,Acuity Advisors,f46aeae4-8c63-4a52-9431-0a5a38cef4bf,2025-09-01,2025-09-01,approved,GDAP expires 2026-09-01
BWH,BrandyWine Homes,c68196d0-806d-495a-b5f4-5ab22adfc845,2025-08-27,2025-08-27,approved,GDAP expires 2026-08-27
HHOC,Housing For Health OC Inc,d57b79ab-c770-4c4a-9b2d-36c90c710b6d,2024-09-23,2024-09-23,approved,GDAP expires 2026-09-23
JRM,JR Medical Inc,449cd620-98d9-4f32-9dde-e263485e8dcd,2025-09-05,2025-09-05,approved,GDAP expires 2027-09-05 — pending app consent
ORX,Orthoxpress,9f0d3ee8-4412-48da-9b80-69badb68b429,2025-08-27,2025-08-27,approved,GDAP expires 2026-08-27
MRM,MiraculousMinds,5631631f-6b02-408b-af52-6b1bac470f59,2025-07-29,2025-07-29,approved,GDAP expires 2026-07-24 — pending app consent
KES,KES Homes,325e6986-c171-4e39-83a3-c6fcbf9dc0f9,2025-04-25,2025-04-25,approved,GDAP expires 2026-10-17 — pending app consent
JDH,JDH Pacific,e5cb8b12-8729-4105-b4f0-1520d78a3260,2026-04-30,2026-04-30,approved,Cloud Reseller — pending app consent
RMG,Roddel Marketing Group,6df1ff80-b028-45d0-82b3-4da67fbc0fc0,2026-04-30,2026-04-30,approved,Cloud Reseller — pending app consent
